SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
OpenWifi_wpa,92-3C-B3-BB-1D-F9,802.11n/ac/ax,-30,92,92.0,5.260,52,263,19,,,,WPA-PSK,CCMP,867 Mbps,80 MHz,50 - 66,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,29-09-2022 12:25:26,92,92,802.11d/e/h/y,No,0,5.1%,CA,,2
OpenWifi_wpa,92-3C-B3-BB-1D-F8,802.11g/n/ax,-28,93,93.0,2.462,11,219,15,,,,WPA-PSK,CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,29-09-2022 12:25:26,93,93,802.11d/e/y,No,0,29.4%,CA,,2
OpenWifi_wpa,92-3C-B3-BB-26-5E,802.11g/n/ax,-25,94,94.0,2.462,11,219,15,,,,WPA-PSK,CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,20-09-2022 12:01:22,94,94,802.11d/e/y,No,0,26.7%,CA,,1
OpenWifi_wpa2,96-3C-B3-BB-26-5F,802.11n/ac/ax,-29,93,93.0,5.260,52,266,19,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,50 - 66,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,20-09-2022 12:01:22,93,93,802.11d/e/h/i/y,No,0,5.5%,CA,,1
OpenWifi_wpa2,96-3C-B3-BB-1D-F9,802.11n/ac/ax,-30,92,92.0,5.260,52,266,19,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,50 - 66,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,29-09-2022 12:25:26,92,92,802.11d/e/h/i/y,No,0,5.1%,CA,,2
OpenWifi_wpa2,96-3C-B3-BB-1D-F8,802.11g/n/ax,-28,93,93.0,2.462,11,228,16,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,29-09-2022 12:25:26,93,93,802.11d/e/i/y,No,0,29.4%,CA,,2
OpenWifi_wpa3,9A-3C-B3-BB-1D-F8,802.11g/n/ax,-28,93,93.0,2.462,11,224,16,,,,WPA3-Personal,CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,29-09-2022 12:25:26,93,93,802.11d/e/i/y,No,0,29.4%,CA,,2
OpenWifi_wpa3,90-3C-B3-B1-70-0C,802.11n/ac/ax,-37,91,91.0,5.180,36,260,18,Edgecore Networks Corporation,,,WPA3-Personal,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,09-12-2022 11:05:06,91,91,802.11d/e/i/y,No,0,3.5%,CA,,8
OpenWifi_wpa3,9A-3C-B3-BB-26-5E,802.11g/n/ax,-25,94,94.0,2.462,11,224,16,,,,WPA3-Personal,CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,20-09-2022 12:01:22,94,94,802.11d/e/i/y,No,0,26.7%,CA,,1
Somethinggg,90-3C-B3-BB-1D-F8,802.11g/n/ax,-28,93,93.0,2.462,11,194,14,Edgecore Networks Corporation,,,,None,144 Mbps,20 MHz,9 - 13,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,29-09-2022 12:25:26,93,93,802.11d/e/y,No,0,29.4%,CA,,2
Somethinggg,90-3C-B3-BB-1D-F9,802.11n/ac/ax,-30,92,92.0,5.260,52,238,18,Edgecore Networks Corporation,,,,None,867 Mbps,80 MHz,50 - 66,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,29-09-2022 12:25:26,92,92,802.11d/e/h/y,No,0,5.1%,CA,,2
ssid_wpa2_5g,92-3C-B3-BB-24-B1,802.11n/ac/ax,-78,65,65.0,5.660,132,272,20,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,130 - 146,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,08-12-2022 11:14:27,65,65,802.11d/e/h/i/y,No,0,0.8%,CA,,13
ssid_wpa_5g,90-3C-B3-BB-24-B1,802.11n/ac/ax,-77,66,66.0,5.660,132,269,20,Edgecore Networks Corporation,,,WPA-PSK,CCMP,867 Mbps,80 MHz,130 - 146,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,08-12-2022 11:14:27,66,66,802.11d/e/h/y,No,0,0.8%,CA,,13
testap_2,90-3C-B3-B1-70-13,802.11g/n/ax,-31,92,92.0,2.437,6,224,16,Edgecore Networks Corporation,,,WPA2-PSK,CCMP,300 Mbps,40 MHz,2 - 10,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,09-12-2022 11:05:06,92,92,802.11d/e/i/y,No,0,39.2%,CA,,8
testap_5,90-3C-B3-B1-70-0B,802.11n/ac/ax,-37,91,91.0,5.180,36,259,18,Edgecore Networks Corporation,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,17-12-2022 00:09:00,17-12-2022 00:09:00,1,09-12-2022 11:05:06,91,91,802.11d/e/i/y,No,0,3.5%,CA,,8
TP-Link_2G,00-5F-67-A4-47-BF,802.11g/n/ax,-21,95,95.0,2.457,10,402,27,TP-Link Corporation Limited,,,WPA2-PSK,CCMP,300 Mbps,40 MHz,6 - 14,Infrastructure,Configured,17-12-2022 00:09:00,17-12-2022 00:09:00,1,16-12-2022 15:32:48,95,95,802.11d/e/h/i/u,No,0,11.4%,US,,6
TP-Link_5G,00-5F-67-A4-47-BE,802.11n/ac/ax,-27,93,93.0,5.785,157,504,25,TP-Link Corporation Limited,Archer AX20,AX1800 Wi-Fi Router,WPA2-PSK,CCMP,867 Mbps,80 MHz,155 - 171,Infrastructure,Configured,17-12-2022 00:09:00,17-12-2022 00:09:00,1,16-12-2022 15:32:51,93,93,802.11d/e/h/i/u,No,0,7.1%,US,,6

